Unnamed: 0,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length,boundary_pct,is_anchor,is_power_hitter,is_finisher,is_experienced,role,predicted_role
560,N Wadhera,2023-2024,33,622,25.91,137.91,53,30,2023,2024,2,63.022508038585215,True,True,True,False,Inexperienced Elite Batter,Inexperienced Elite Batter
561,M Labuschagne,2017-2025,28,620,23.84,122.28,54,9,2017,2025,9,43.54838709677419,True,False,False,True,Experienced Anchor,Experienced Anchor
562,VM Jadeja,2018-2024,32,617,28.04,139.9,60,21,2018,2024,7,59.3192868719611,True,False,True,True,Experienced Anchor Finisher,Experienced Versatile Batter
563,W Jaffer,2007-2012,23,616,28.0,129.14,75,11,2007,2012,6,59.41558441558441,True,False,False,True,Experienced Anchor,Experienced Anchor
564,BJ Pania,2021-2024,38,614,30.7,151.23,40,39,2021,2024,4,64.16938110749186,True,True,True,False,Inexperienced Elite Batter,Inexperienced Elite Batter
565,Mahidul Islam Ankon,2019-2025,42,612,24.48,139.72,30,39,2019,2025,7,57.84313725490197,True,False,True,True,Experienced Anchor Finisher,Experienced Anchor
566,Wahab Riaz,2014-2023,164,611,10.53,121.23,47,27,2014,2023,10,57.283142389525366,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
567,CD Barnwell,2010-2019,59,609,16.45,114.47,32,31,2010,2019,10,51.55993431855501,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
568,Sumeet Verma,2011-2024,54,607,15.56,138.58,51,31,2011,2024,14,64.2504118616145,False,True,True,True,Experienced Explosive Finisher,Experienced Explosive Finisher
569,MP O'Dowd,2021-2024,23,606,30.3,108.99,56,18,2021,2024,4,54.78547854785478,True,False,False,False,Inexperienced Anchor,Inexperienced Anchor
570,PWA Mulder,2023-2025,32,603,26.21,136.11,54,23,2023,2025,3,58.70646766169154,True,False,True,False,Inexperienced Anchor Finisher,Inexperienced Anchor Finisher
571,BJ Dwarshuis,2014-2025,117,602,18.24,145.06,39,30,2014,2025,12,55.81395348837209,False,False,True,True,Experienced Finisher,Experienced Balanced Batter
572,CJ Simmons,2014-2015,24,601,25.04,139.44,55,34,2014,2015,2,70.54908485856906,True,True,True,False,Inexperienced Elite Batter,Inexperienced Elite Batter
573,Sunny Singh,2007-2011,33,599,23.03,119.32,66,12,2007,2011,5,56.093489148580964,True,False,False,True,Experienced Anchor,Experienced Anchor
574,Puneet Yadav,2010-2017,35,598,23.0,116.34,62,12,2010,2017,8,53.51170568561873,True,False,False,True,Experienced Anchor,Experienced Anchor
575,Mahmudul Hasan Joy,2022-2024,30,596,24.83,109.35,52,15,2022,2024,3,50.0,True,False,False,False,Inexperienced Anchor,Inexperienced Anchor
576,RH Bhatt,2007-2018,43,595,22.03,115.08,49,11,2007,2018,12,44.03361344537815,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
577,Gurinder Singh,2013-2022,59,594,25.82,121.47,35,26,2013,2022,10,49.831649831649834,True,False,False,True,Experienced Anchor,Experienced Anchor
578,OF Smith,2017-2024,74,593,18.53,129.75,40,45,2017,2024,8,72.51264755480608,False,True,False,True,Experienced Power Hitter,Experienced Explosive Finisher
579,Azmatullah Omarzai,2022-2025,57,591,19.06,138.73,36,34,2022,2025,4,58.88324873096447,False,False,True,False,Inexperienced Finisher,Inexperienced Anchor Finisher
580,Ibrahim Zadran,2022-2025,25,591,23.64,109.44,60,14,2022,2025,4,54.82233502538071,True,False,False,False,Inexperienced Anchor,Inexperienced Anchor
581,Babul Kumar,2019-2023,33,589,20.31,110.71,73,10,2019,2023,5,59.7623089983022,False,False,False,True,Experienced Balanced Batter,Inexperienced Anchor
582,TK Curran,2018-2025,61,589,20.31,136.65,59,16,2018,2025,8,56.36672325976231,False,False,True,True,Experienced Finisher,Experienced Balanced Batter
583,TF Rogers,2022-2025,34,589,19.0,119.95,66,12,2022,2025,4,57.045840407470294,False,False,False,False,Inexperienced Balanced Batter,Inexperienced Anchor
584,SB Styris,2007-2014,49,586,17.75,114.45,35,23,2007,2014,8,47.44027303754266,False,False,False,True,Experienced Balanced Batter,Inexperienced Balanced Batter
585,Alok Kapali,2007-2022,73,585,16.25,96.53,42,16,2007,2022,16,45.12820512820513,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
586,M Jansen,2021-2025,73,584,20.85,133.02,38,32,2021,2025,5,58.9041095890411,False,False,False,True,Experienced Balanced Batter,Experienced Anchor
587,C Connolly,2023-2025,25,577,38.46,136.72,36,28,2023,2025,3,54.07279029462738,True,False,True,False,Inexperienced Anchor Finisher,Inexperienced Anchor Finisher
588,AV Vasavada,2011-2021,40,575,23.95,117.1,45,12,2011,2021,11,43.826086956521735,True,False,False,True,Experienced Anchor,Experienced Anchor
589,P Arya,2021-2024,18,573,33.7,166.56,54,36,2021,2024,4,75.39267015706807,True,True,True,False,Inexperienced Elite Batter,Inexperienced Elite Batter
590,AV Wadkar,2018-2023,28,570,23.75,103.26,50,6,2018,2023,6,41.40350877192983,True,False,False,True,Experienced Anchor,Experienced Anchor
591,P Aziz,2007-2019,27,568,23.66,110.07,53,22,2007,2019,13,60.56338028169014,True,False,False,True,Experienced Anchor,Experienced Balanced Batter
592,Agha Salman,2014-2024,31,567,21.0,121.15,51,18,2014,2024,11,55.026455026455025,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
593,SD Chauhan,2021-2024,29,564,24.52,146.87,43,31,2021,2024,4,63.47517730496454,True,True,True,False,Inexperienced Elite Batter,Inexperienced Elite Batter
594,PD Collingwood,2007-2012,35,564,19.44,124.22,37,22,2007,2012,6,49.645390070921984,False,False,False,True,Experienced Balanced Batter,Inexperienced Anchor
595,J Edwards,2018-2025,51,563,14.43,112.6,59,7,2018,2025,8,49.37833037300178,False,False,False,True,Experienced Balanced Batter,Inexperienced Balanced Batter
596,JD Unadkat,2010-2024,192,562,15.61,130.09,38,28,2010,2024,15,56.93950177935944,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
597,Ahsan Ali,2019-2022,26,561,24.39,130.16,67,14,2019,2022,4,62.745098039215684,True,True,False,False,Inexperienced Versatile Batter,Inexperienced Anchor Finisher
598,PJ Forrest,2011-2015,30,554,23.08,106.53,44,12,2011,2015,5,44.765342960288805,True,False,False,True,Experienced Anchor,Inexperienced Anchor
599,MJ North,2011-2014,31,552,29.05,109.09,44,12,2011,2014,4,44.927536231884055,True,False,False,False,Inexperienced Anchor,Inexperienced Anchor
600,JN Shah,2007-2017,36,551,16.2,107.61,53,20,2007,2017,11,60.254083484573506,False,False,False,True,Experienced Balanced Batter,Inexperienced Balanced Batter
601,VH Zol,2013-2019,25,551,25.04,116.0,63,12,2013,2019,7,58.802177858439194,True,False,False,True,Experienced Anchor,Experienced Anchor
602,S Sohal,2007-2018,34,550,18.96,116.03,54,23,2007,2018,12,64.36363636363637,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
603,S Kanwar,2010-2021,26,548,21.92,122.04,54,30,2010,2021,12,72.26277372262774,False,False,False,True,Experienced Balanced Batter,Experienced Power Hitter
604,B Indrajith,2014-2024,30,546,21.0,122.97,43,15,2014,2024,11,47.985347985347985,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
605,R Sanjay Yadav,2017-2023,35,546,22.75,118.95,29,29,2017,2023,7,53.11355311355312,True,False,False,True,Experienced Anchor,Experienced Anchor
606,MJ Owen,2021-2025,27,545,28.68,182.27,45,38,2021,2025,5,74.86238532110092,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
607,R Dewan,2009-2015,32,544,18.13,92.99,67,3,2009,2015,7,52.57352941176471,False,False,False,True,Experienced Balanced Batter,Inexperienced Balanced Batter
608,Imam-ul-Haq,2019-2021,22,542,24.63,124.31,50,13,2019,2021,3,51.291512915129154,True,False,False,False,Inexperienced Anchor,Inexperienced Anchor
609,K Chandela,2021-2024,26,540,24.54,126.16,46,20,2021,2024,4,56.2962962962963,True,False,False,False,Inexperienced Anchor,Inexperienced Anchor
610,SN Khanolkar,2007-2012,21,539,29.94,126.52,56,13,2007,2012,6,56.029684601113175,True,False,False,True,Experienced Anchor,Inexperienced Anchor
611,AR Gupta,2014-2023,41,538,16.81,127.48,32,38,2014,2023,10,66.17100371747212,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
612,Gaurav Puri,2019-2024,27,537,29.83,154.31,23,43,2019,2024,6,65.17690875232775,True,True,True,True,Experienced Elite Batter,Inexperienced Elite Batter
