Unnamed: 0,player,span,mat,wickets,econ,sr,start_year,end_year,career_length,is_wicket_taker,is_economist,is_experienced,role,predicted_role
1785,WG Bosisto,2017-2025,21,3,6.46,26.0,2017,2025,9,False,True,False,Inexperienced Economist,Inexperienced Economist
1786,AC Botha,2009-2010,5,3,6.0,12.0,2009,2010,2,False,True,False,Inexperienced Economist,Inexperienced Economist
1787,Mudassar Bukhari,2014-2016,10,3,6.78,53.3,2014,2016,3,False,True,False,Inexperienced Economist,Inexperienced Economist
1788,JA Burns,2012-2023,71,3,7.37,16.0,2012,2023,12,False,True,True,Experienced Economist,Inexperienced Elite Bowler
1789,Y Cariah,2013-2024,8,3,9.81,32.0,2013,2024,12,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1790,S Chakraborty,2019-2023,12,3,8.36,38.0,2019,2023,5,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1791,AR Chandran,2019-2021,4,3,9.44,18.0,2019,2021,3,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1792,SSK Chaudhary,2023-2024,3,3,7.12,16.0,2023,2024,2,False,True,False,Inexperienced Economist,Inexperienced Economist
1793,NB Chauhan,2014-2014,3,3,10.44,18.0,2014,2014,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1794,SK Cheruvathur,2007-2007,5,3,7.12,32.0,2007,2007,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1795,Chetan Anand,2022-2022,5,3,8.62,29.6,2022,2022,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1796,JA Chohan,2025-2025,4,3,6.66,24.0,2025,2025,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1797,J Clark,2018-2018,2,3,9.4,12.3,2018,2018,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1798,AP Das,2021-2021,9,3,8.0,50.0,2021,2021,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1799,H Davids,2009-2018,34,3,7.58,24.0,2009,2018,10,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1800,Deepak Dogra,2017-2017,2,3,7.37,16.0,2017,2017,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1801,ST de Silva,2020-2021,11,3,11.21,12.6,2020,2021,2,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1802,V Devendran,2007-2007,10,3,7.43,32.0,2007,2007,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1803,R Dhanda,2022-2022,5,3,7.61,26.0,2022,2022,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1804,NR Dhumal,2017-2019,3,3,7.33,18.0,2017,2019,3,False,True,False,Inexperienced Economist,Inexperienced Economist
1805,GS Dinusha,2023-2024,2,3,11.83,12.0,2023,2024,2,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1806,J Drysdale,2024-2024,4,3,10.53,26.0,2024,2024,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1807,BR Dunk,2011-2022,146,3,9.31,25.3,2011,2022,12,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
1808,A Dutt,2024-2024,2,3,5.71,14.0,2024,2024,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1809,P Dutta,2023-2023,2,3,4.83,12.0,2023,2023,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1810,Enamul Haque (2),2016-2024,7,3,5.25,24.0,2016,2024,9,False,True,False,Inexperienced Economist,Inexperienced Economist
1811,ADS Fletcher,2009-2024,209,3,8.03,19.6,2009,2024,16,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
1812,JS Floros,2011-2018,25,3,8.7,64.3,2011,2018,8,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1813,RS Gavaskar,2007-2010,8,3,8.47,21.0,2007,2010,4,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1814,NG Gehlot,2014-2014,8,3,8.47,40.3,2014,2014,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1815,SS Ghosh,2021-2024,14,3,7.76,42.0,2021,2024,4,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1816,JOA Gordon,2024-2024,3,3,7.33,21.0,2024,2024,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1817,DMK Grant,2022-2022,2,3,6.0,16.0,2022,2022,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1818,DC Green,2019-2019,4,3,10.5,24.0,2019,2019,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1819,MD Gunathilaka,2014-2024,40,3,8.9,44.0,2014,2024,11,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1820,NK Gupta,2021-2021,2,3,5.71,14.0,2021,2021,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1821,AR Gupta,2014-2023,41,3,6.22,18.0,2014,2023,10,False,True,False,Inexperienced Economist,Inexperienced Economist
1822,OJ Hannon-Dalby,2012-2012,2,3,7.25,16.0,2012,2012,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1823,AK Heal,2011-2012,4,3,7.16,24.0,2011,2012,2,False,True,False,Inexperienced Economist,Inexperienced Economist
1824,CW Henderson,2009-2011,7,3,6.82,56.0,2009,2011,3,False,True,False,Inexperienced Economist,Inexperienced Economist
