,player,span,mat,wickets,econ,sr,start_year,end_year,career_length
1163,KA Jamieson,2021-2021,9,9,9.6,18.6,2021,2021,1
1164,D Jansen,2022-2023,13,9,8.76,26.5,2022,2023,2
1165,S Joseph,2023-2024,11,9,9.52,23.6,2023,2024,2
1166,I Karthik Raman,2016-2019,8,9,10.64,11.3,2016,2019,4
1167,Keshav Kumar,2007-2019,28,9,7.11,35.2,2007,2019,13
1168,RK Kleinveldt,2009-2014,9,9,9.61,19.5,2009,2014,6
1169,MA Leask,2016-2024,16,9,7.79,22.6,2016,2024,9
1170,PHKD Mendis,2020-2025,43,9,8.76,37.3,2020,2025,6
1171,S Milenko,2014-2020,42,9,10.09,13.6,2014,2020,7
1172,DS Mohanty,2007-2007,8,9,6.73,18.1,2007,2007,1
1173,Mohit Rathee,2023-2024,13,9,7.9,29.7,2023,2024,2
1174,D Mongia,2007-2007,10,9,6.05,22.6,2007,2007,1
1175,DJM Moody,2019-2023,10,9,8.79,18.1,2019,2023,5
1176,PWA Mulder,2023-2025,33,9,9.82,24.2,2023,2025,3
1177,Nadeem Ahmed,2014-2016,6,9,6.78,13.6,2014,2016,3
1178,R Negi,2009-2016,15,9,7.37,28.1,2009,2016,8
1179,T Neri,2019-2023,27,9,8.85,36.6,2019,2023,5
1180,Nishan Singh,2017-2017,5,9,8.91,11.6,2017,2017,1
1181,A Panwar,2024-2024,6,9,9.57,14.0,2024,2024,1
1182,T Panyangara,2014-2016,6,9,7.69,15.3,2014,2016,3
1183,SB Patra,2015-2015,4,9,7.72,7.3,2015,2015,1
1184,DJ Pattinson,2012-2013,9,9,7.67,18.6,2012,2013,2
1185,G Periyaswamy,2019-2021,9,9,7.54,14.2,2019,2021,3
1186,MV Pithiya,2022-2024,16,9,6.4,21.3,2022,2024,3
1187,DB Prasanth,2013-2021,48,9,7.7,20.6,2013,2021,9
1188,GD Putland,2010-2016,14,9,8.38,29.3,2010,2016,7
1189,DS Rathi,2024-2025,6,9,6.13,15.3,2024,2025,2
1190,MT Renshaw,2018-2025,80,9,7.8,28.0,2018,2025,8
1191,Robiul Haque,2019-2023,11,9,9.94,25.0,2019,2023,5
1192,JE Root,2012-2025,31,9,7.68,21.3,2012,2025,14
1193,PM Sahani,2015-2023,53,9,7.69,22.0,2015,2023,9
1194,AR Sanganakal,2019-2021,12,9,7.38,29.3,2019,2021,3
1195,RA Sharma,2023-2024,7,9,6.76,16.6,2023,2024,2
1196,Shivam Sharma,2014-2016,8,9,7.91,18.1,2014,2016,3
1197,JA Sinclair,2022-2024,17,9,7.94,22.6,2022,2024,3
1198,K Sinclair,2020-2024,15,9,6.51,22.1,2020,2024,5
1199,PS Singh,2023-2024,7,9,8.19,14.0,2023,2024,2
1200,SR Singh,2007-2011,11,9,7.04,25.4,2007,2011,5
1201,A Singhania,2019-2021,16,9,7.15,22.5,2019,2021,3
1202,M Singpho,2019-2023,18,9,9.63,23.1,2019,2023,5
1203,R Sonu Yadav,2021-2024,6,9,7.25,13.3,2021,2024,4
1204,P Subrayen,2014-2025,12,9,7.55,25.7,2014,2025,12
1205,JA Thompson,2018-2022,14,9,9.5,14.6,2018,2022,5
1206,JJ van der Wath,2007-2011,8,9,8.71,21.3,2007,2011,5
1207,S von Berg,2018-2018,3,9,5.5,8.0,2018,2018,1
1208,K Yadav,2010-2010,5,9,5.38,12.0,2010,2010,1
1209,Swapan Das,2009-2016,16,8,7.26,25.5,2009,2016,8
1210,Abhishek Kumar,2022-2022,7,8,8.31,16.5,2022,2022,1
1211,SL Akshay,2011-2013,9,8,7.58,20.8,2011,2013,3
1212,JM Anderson,2007-2009,9,8,7.2,24.2,2007,2009,3
1213,A Aravinddaraj,2019-2023,14,8,8.89,25.8,2019,2023,5
1214,Arif Yaqoob,2024-2024,5,8,8.87,12.0,2024,2024,1
1215,Asif Afridi,2022-2022,5,8,6.52,14.2,2022,2022,1
1216,SS Bandiwar,2013-2016,10,8,7.98,22.6,2013,2016,4
1217,CD Barnwell,2010-2019,59,8,10.28,31.5,2010,2019,10
1218,RR Biswa,2019-2022,20,8,7.9,30.7,2019,2022,4
1219,NW Bracken,2007-2009,8,8,6.91,21.2,2007,2009,3
1220,Y Chaudhary,2021-2024,15,8,5.95,16.5,2021,2024,4
1221,JM Chauhan,2019-2019,6,8,5.72,13.5,2019,2019,1
1222,RK Choudhary,2023-2024,5,8,6.36,14.2,2023,2024,2
1223,SD Chowdhury,2007-2010,10,8,6.12,18.1,2007,2010,4
1224,PD Collingwood,2007-2012,35,8,8.91,21.6,2007,2012,6
1225,S Colombage,2020-2021,9,8,7.96,18.7,2020,2021,2
1226,KJ Cottoy,2015-2021,11,8,6.18,12.0,2015,2021,7
1227,SJ Coyte,2011-2014,13,8,7.01,32.3,2011,2014,4
1228,RS D'Souza,2007-2011,10,8,7.82,20.5,2007,2011,5
1229,Dhiraj Singh,2010-2017,5,8,5.47,14.2,2010,2017,8
1230,RH Dias,2018-2024,9,8,8.78,24.2,2018,2024,7
1231,LHD Dilhara,2013-2013,4,8,6.75,12.0,2013,2013,1
1232,LA Doran,2011-2014,14,8,7.11,27.0,2011,2014,4
1233,CN Greaves,2021-2024,15,8,7.96,22.1,2021,2024,4
1234,Sunny Gupta,2007-2018,17,8,6.87,33.2,2007,2018,12
1235,Gurkeerat Singh,2011-2023,119,8,7.08,27.7,2011,2023,13
1236,RM Hira,2011-2012,8,8,6.96,23.2,2011,2012,2
1237,Hunain Shah,2024-2024,10,8,9.5,17.7,2024,2024,1
1238,MD Ingale,2019-2022,10,8,8.59,20.2,2019,2022,4
1239,V Jain,2007-2007,4,8,5.78,10.5,2007,2007,1
1240,Javed Khan,2014-2014,4,8,5.53,11.2,2014,2014,1
1241,SP Jobanputra,2007-2011,7,8,8.09,16.5,2007,2011,5
1242,KR Kakade,2019-2023,19,8,7.25,26.8,2019,2023,5
1243,Karan Kaila,2019-2023,15,8,6.52,37.0,2019,2023,5
1244,JM Kemp,2007-2014,22,8,8.45,20.5,2007,2014,8
1245,M Khatri,2010-2013,8,8,7.0,20.2,2010,2013,4
1246,YV Krishanatry,2010-2014,8,8,8.07,17.3,2010,2014,5
1247,AS Kushwah,2016-2022,8,8,7.56,21.6,2016,2022,7
1248,Lee Yong Lepcha,2019-2024,34,8,10.17,44.3,2019,2024,6
1249,JB Lintott,2021-2022,8,8,6.26,19.5,2021,2022,2
1250,WK McCallan,2009-2009,5,8,7.02,14.6,2009,2009,1
1251,Mohammad Mohsin,2020-2024,11,8,8.12,25.3,2020,2024,5
1252,KV Morea,2021-2024,5,8,7.1,11.5,2021,2024,4
1253,A Mourya,2019-2022,13,8,8.63,15.3,2019,2022,4
1254,D Naren Reddy,2013-2021,19,8,6.15,19.3,2013,2021,9
1255,M Negi,2023-2024,11,8,7.4,16.5,2023,2024,2
1256,C Overton,2025-2025,6,8,6.4,16.5,2025,2025,1
1257,MJ Owen,2021-2025,27,8,9.83,27.0,2021,2025,5
1258,RS Paliwal,2013-2024,66,8,7.32,23.2,2013,2024,12
1259,A Parkar,2015-2021,13,8,9.5,16.5,2015,2021,7
1260,CK Paul,2013-2024,17,8,7.47,42.2,2013,2024,12
1261,VM Prabhudessai,2018-2021,10,8,10.21,21.3,2018,2021,4
1262,TJG Pringle,2022-2024,10,8,6.76,22.5,2022,2024,3
1263,Y Prithvi Raj,2019-2023,5,8,11.76,12.6,2019,2023,5
1264,SMA Priyanjan,2012-2023,19,8,8.39,24.7,2012,2023,12
1265,Raja Farzan,2018-2020,5,8,7.56,12.0,2018,2020,3
1266,PVSN Raju,2024-2025,9,8,8.98,20.1,2024,2025,2
1267,WB Rankin,2009-2016,10,8,7.06,24.7,2009,2016,8
1268,YB Rawat,2015-2015,8,8,6.68,20.8,2015,2015,1
1269,LM Reece,2017-2020,10,8,6.76,18.7,2017,2020,4
1270,Remruatdika Ralte,2021-2023,17,8,8.58,32.7,2021,2023,3
1271,SKSP Roul,2021-2023,8,8,9.65,17.2,2021,2023,3
1272,SE Rutherford,2018-2025,133,8,9.07,25.3,2018,2025,8
1273,JD Ryder,2009-2017,40,8,7.98,30.2,2009,2017,9
1274,Sachin Baby,2011-2024,102,8,7.83,25.0,2011,2024,14
1275,C Sakure,2017-2017,3,8,7.25,9.0,2017,2017,1
1276,Santosh Lal,2007-2010,6,8,8.33,11.2,2007,2010,4
1277,A Sen,2019-2023,19,8,7.58,18.0,2019,2023,5
1278,Shivam Shukla,2024-2024,8,8,6.3,22.5,2024,2024,1
1279,Shivendra Singh,2018-2021,13,8,7.49,32.6,2018,2021,4
1280,Shubham Singh,2019-2023,10,8,8.0,24.7,2019,2023,5
1281,SG Singh,2015-2024,16,8,7.82,36.1,2015,2024,10
1282,SI Sopariya,2023-2023,10,8,6.25,27.0,2023,2023,1
1283,S Sureshnath,2009-2011,5,8,7.26,13.6,2009,2011,3
1284,Suryansh Shedge,2024-2025,12,8,9.27,14.8,2024,2025,2
1285,Swarajeet Das,2019-2024,24,8,10.14,32.0,2019,2024,6
1286,AB Tanwar,2016-2022,10,8,6.11,20.1,2016,2022,7
1287,DHAP Tharanga,2020-2022,10,8,8.37,20.2,2020,2022,3
1288,GC Tonge,2013-2014,7,8,8.16,13.5,2013,2014,2
1289,C Valente,2018-2021,14,8,9.08,26.2,2018,2021,4
1290,KL Vanrotlinga,2024-2024,7,8,10.0,20.2,2024,2024,1
1291,Y Venugopal Rao,2007-2014,83,8,8.78,38.2,2007,2014,8
1292,Vishal Gaur,2024-2024,6,8,8.9,16.5,2024,2024,1
1293,Vivrant Sharma,2021-2024,24,8,7.97,11.7,2021,2024,4
1294,SD Vohra,2007-2010,4,8,5.19,11.1,2007,2010,4
1295,N Wagner,2009-2013,8,8,7.63,22.5,2009,2013,5
1296,UWMBCA Welegedara,2009-2010,7,8,8.58,16.2,2009,2010,2
1297,A Mangaraj,2007-2015,11,7,7.58,26.5,2007,2015,9
1298,Gaurav Gambhir,2019-2021,9,7,4.88,21.4,2019,2021,3
1299,A Absolem,2007-2010,9,7,6.7,24.4,2007,2010,4
1300,KR Adhav,2009-2010,7,7,6.8,22.2,2009,2010,2
1301,CK Akshay,2013-2014,7,7,7.44,15.4,2013,2014,2
1302,Ashwani Kumar,2022-2025,6,7,9.16,15.4,2022,2025,4
1303,K Ashwin Hebbar,2015-2024,59,7,9.07,22.8,2015,2024,10
1304,T Atchuta Rao,2013-2014,6,7,7.45,17.7,2013,2014,2
1305,HK Badani,2007-2011,18,7,6.5,18.8,2007,2011,5
1306,SA Badiuzzama,2013-2014,9,7,7.57,24.0,2013,2014,2
1307,A Chahal,2018-2019,7,7,8.0,18.8,2018,2019,2
1308,S Chaudhary,2017-2024,34,7,7.53,39.1,2017,2024,8
1309,GJ Delany,2021-2024,13,7,7.82,23.4,2021,2024,4
1310,S Dhaliwal,2014-2024,29,7,7.13,32.5,2014,2024,11
1311,Dhruv Singh,2007-2013,25,7,6.54,26.5,2007,2013,7
1312,ND Doshi,2010-2011,8,7,7.2,20.0,2010,2011,2
1313,VV Gite,2019-2019,9,7,8.63,19.8,2019,2019,1
1314,J Glen,2019-2020,13,7,5.9,8.5,2019,2020,2
1315,AA Gogoi,2019-2019,6,7,6.57,18.0,2019,2019,1
1316,Himan Phukan,2021-2024,9,7,7.96,24.0,2021,2024,4
1317,Jasdeep Singh,2024-2024,6,7,8.42,16.2,2024,2024,1
1318,DT Johnston,2009-2012,8,7,7.57,22.2,2009,2012,4
1319,AS Karambelkar,2012-2019,19,7,8.34,22.2,2012,2019,8
1320,SK Kashyap,2021-2023,9,7,7.92,21.4,2021,2023,3
1321,SA Khadir,2019-2019,7,7,9.86,22.8,2019,2019,1
1322,Krishan Alang,2019-2021,6,7,7.68,16.2,2019,2021,3
1323,NM Kulkarni,2007-2007,8,7,5.75,27.4,2007,2007,1
1324,DT Kumaran,2007-2007,4,7,8.85,12.0,2007,2007,1
1325,Lalit Yadav,2017-2023,10,7,7.68,26.4,2017,2023,7
1326,DW Lawrence,2020-2025,12,7,8.23,11.1,2020,2025,6
1327,KS Lokuarachchi,2009-2013,11,7,9.75,20.5,2009,2013,5
1328,SCG MacGill,2011-2012,8,7,6.64,21.4,2011,2012,2
1329,V Manoharan,2014-2019,11,7,8.0,18.0,2014,2019,6
1330,KT Maphaka,2024-2025,11,7,10.36,32.0,2024,2025,2
1331,SM Meherob,2024-2025,10,7,7.17,16.0,2024,2025,2
1332,SS Mishra,2023-2023,4,7,9.37,13.7,2023,2023,1
1333,Mohammad Ashraful,2007-2019,41,7,8.78,25.5,2007,2019,13
1334,Mohammad Sharif,2013-2017,17,7,8.78,45.8,2013,2017,5
1335,TL Moreki,2018-2018,3,7,7.66,7.7,2018,2018,1
1336,SD Nadkarni,2009-2009,5,7,6.17,14.5,2009,2009,1
1337,Nazmul Hossain,2012-2013,7,7,8.8,17.1,2012,2013,2
1338,N Nitin Sai Yadav,2024-2024,4,7,6.93,12.8,2024,2024,1
1339,VK Ostwal,2022-2024,8,7,6.48,24.5,2022,2024,3
1340,MK Patel,2021-2021,9,7,9.29,20.5,2021,2021,1
1341,SA Patterson,2012-2018,7,7,7.71,20.0,2012,2018,7
1342,KP Pietersen,2007-2018,127,7,7.77,30.8,2007,2018,12
1343,Prashant K Singh,2019-2024,8,7,7.44,19.5,2019,2024,6
1344,C Raghu,2007-2007,9,7,7.7,24.5,2007,2007,1
1345,H Rathod,2021-2024,10,7,8.39,29.0,2021,2024,4
1346,SS Rathour,2016-2021,16,7,6.11,29.1,2016,2021,6
1347,KTH Ratnayake,2021-2022,8,7,6.9,20.8,2021,2022,2
1348,KC Raval,2011-2014,12,7,6.15,11.1,2011,2014,4
1349,P Ray Barman,2019-2024,9,7,8.4,21.4,2019,2024,6
1350,B Rout,2021-2021,5,7,7.6,17.1,2021,2021,1
1351,RH Saha,2007-2014,14,7,6.29,14.5,2007,2014,8
1352,Salauddin Sakil,2019-2024,6,7,8.43,14.4,2019,2024,6
1353,RS Sambyal,2010-2016,6,7,7.35,17.1,2010,2016,7
1354,P Saravana Kumar,2021-2021,3,7,9.55,7.7,2021,2021,1
1355,PM Seelaar,2009-2021,15,7,7.2,19.8,2009,2021,13
1356,JN Shah,2007-2017,36,7,8.48,10.7,2007,2017,11
1357,M Shahrukh Khan,2014-2025,100,7,8.14,26.0,2014,2025,12
1358,HS Sharath,2014-2015,9,7,6.46,25.7,2014,2015,2
1359,Shoaib Md Khan,2017-2022,15,7,7.18,42.0,2017,2022,6
1360,KI Simmonds,2023-2025,9,7,7.45,17.1,2023,2025,3
1361,KP Singh,2019-2024,34,7,9.01,39.2,2019,2024,6
1362,PJ Singh,2024-2024,6,7,7.66,17.0,2024,2024,1
1363,JJ Smit,2021-2024,15,7,7.91,30.0,2021,2024,4
1364,Sompal Kami,2014-2024,6,7,5.55,15.4,2014,2024,11
1365,PR Stirling,2009-2025,66,7,8.03,24.0,2009,2025,17
1366,Sumit Lama,2019-2021,10,7,9.42,16.2,2019,2021,3
1367,B Swanepoel,2024-2025,7,7,8.5,18.8,2024,2025,2
1368,P Thamaraikannan,2019-2021,9,7,8.26,16.2,2019,2021,3
1369,NT Tilak Varma,2019-2025,78,7,7.68,26.0,2019,2025,7
1370,TC Vanlalremruata,2023-2023,7,7,7.78,16.2,2023,2023,1
1371,G Vignesh,2010-2011,5,7,5.94,15.4,2010,2011,2
1372,KM Waingankar,2009-2013,6,7,8.21,16.2,2009,2013,5
1373,C Wickramasinghe,2022-2024,10,7,10.64,15.1,2022,2024,3
1374,JP Zope,2017-2018,7,7,8.48,20.0,2017,2018,2
1375,Abdul Basith,2022-2024,23,6,7.45,31.0,2022,2024,3
1376,Abdur Rehman,2010-2016,4,6,8.21,14.0,2010,2016,7
1377,FD Adams,2023-2023,6,6,9.19,21.0,2023,2023,1
1378,DS Airee,2024-2024,3,6,5.15,9.5,2024,2024,1
1379,AA Ansari,2009-2015,9,6,8.21,31.1,2009,2015,7
1380,S Baig,2010-2019,12,6,8.21,28.8,2010,2019,10
1381,N Boje,2010-2011,10,6,7.34,32.0,2010,2011,2
1382,S Chakraborty,2014-2014,4,6,7.3,13.0,2014,2014,1
1383,TK Chanda,2007-2011,7,6,8.85,23.8,2007,2011,5
1384,H Chawla,2013-2016,23,6,7.68,16.6,2013,2016,4
1385,MJ Clarke,2007-2012,22,6,7.96,28.0,2007,2012,6
1386,MB Darshan,2021-2021,4,6,8.92,14.0,2021,2021,1
1387,PP Das,2015-2021,6,6,6.33,9.0,2015,2021,7
1388,TH David,2018-2025,180,6,8.37,59.6,2018,2025,8
1389,Dawlat Zadran,2012-2016,10,6,8.08,34.0,2012,2016,5
1390,Z de Bruyn,2009-2012,11,6,9.76,21.0,2009,2012,4
1391,AP Devcich,2014-2019,39,6,8.42,35.0,2014,2019,6
1392,Sunil M Dholpure,2007-2007,4,6,8.35,14.0,2007,2007,1
1393,MW Dixon,2014-2016,4,6,8.25,16.0,2014,2016,3
1394,RM Duffield,2012-2015,7,6,8.91,24.0,2012,2015,4
1395,N Dutta,2015-2024,5,6,8.43,17.6,2015,2024,10
1396,SA Engelbrecht,2009-2024,8,6,7.3,13.0,2009,2024,16
1397,Farman Ahmed,2009-2012,11,6,7.47,19.0,2009,2012,4
1398,AJ Finch,2010-2024,219,6,9.2,31.8,2010,2024,15
1399,Gajendra Singh,2024-2024,3,6,7.9,11.0,2024,2024,1
1400,AN Garhwal,2014-2023,34,6,6.37,16.0,2014,2023,10
1401,MR Gillespie,2007-2007,6,6,7.86,19.8,2007,2007,1
1402,L Guthrie,2021-2022,6,6,9.27,22.0,2021,2022,2
1403,Harpreet Singh,2010-2024,99,6,5.7,23.5,2010,2024,15
1404,CK Holder,2018-2020,7,6,10.33,21.0,2018,2020,3
1405,KM Jadhav,2007-2023,153,6,7.81,16.0,2007,2023,17
1406,RS Jaganath Sinivas,2023-2023,5,6,7.89,15.8,2023,2023,1
1407,P Jayachandra,2007-2007,8,6,6.76,13.0,2007,2007,1
1408,VM Jivrajani,2019-2019,5,6,7.05,19.0,2019,2019,1
1409,AA Joshi,2011-2021,30,6,7.4,10.0,2011,2021,11
1410,Kaleemullah,2021-2024,6,6,7.73,15.0,2021,2024,4
1411,SS Karmakar,2007-2007,5,6,6.31,15.6,2007,2007,1
1412,CA Karthik,2021-2021,5,6,5.66,18.1,2021,2021,1
1413,S Kaushik,2016-2017,10,6,8.73,34.0,2016,2017,2
1414,MA Khote,2007-2008,11,6,8.5,22.0,2007,2008,2
1415,V Kohli,2007-2025,311,6,8.92,57.0,2007,2025,19
1416,J Kousik,2016-2021,11,6,7.29,17.0,2016,2021,6
1417,Kunal Yadav,2024-2024,5,6,10.76,18.6,2024,2024,1
1418,A Lalith Mohan,2021-2023,8,6,7.77,31.0,2021,2023,3
1419,Lalnunkima Varte,2019-2021,12,6,9.18,33.0,2019,2021,3
1420,HA Majmudar,2007-2007,4,6,5.64,14.0,2007,2007,1
1421,Manzoor Dar,2017-2021,23,6,7.66,19.8,2017,2021,5
1422,Mehran Khan,2016-2024,7,6,8.0,9.0,2016,2024,9
1423,D Mohammed,2009-2013,10,6,6.84,24.8,2009,2013,5
1424,MT Mukherjee,2013-2015,5,6,6.82,15.6,2013,2015,3
1425,AS Naidu,2007-2011,14,6,7.72,25.0,2007,2011,5
1426,Nawaz Khan,2023-2024,10,6,9.65,26.0,2023,2024,2
1427,Najmul Hossain Shanto,2016-2025,103,6,7.41,19.8,2016,2025,10
1428,Nipan Deka,2018-2024,10,6,10.56,19.5,2018,2024,7
1429,JA Odedra,2009-2014,7,6,7.2,25.8,2009,2014,6
1430,RV Pawar,2007-2009,8,6,8.13,22.0,2007,2009,3
1431,D Potgieter,2023-2025,23,6,9.28,7.0,2023,2025,3
1432,PK Pradhan,2024-2024,3,6,10.25,9.1,2024,2024,1
1433,A Pratap Singh,2013-2016,3,6,5.08,12.0,2013,2016,4
1434,W Prestwidge,2022-2025,6,6,9.48,15.5,2022,2025,4
1435,SA Quadri,2010-2011,6,6,8.08,12.0,2010,2011,2
1436,Rameez Khan,2010-2013,16,6,7.4,30.0,2010,2013,4
1437,A Rasool,2009-2013,7,6,6.92,20.5,2009,2013,5
1438,R Ravi Kumar,2022-2023,5,6,8.4,15.0,2022,2023,2
1439,DB Ravi Teja,2007-2021,89,6,7.85,21.0,2007,2021,15
1440,PIS Reddy,2007-2010,6,6,5.52,21.0,2007,2010,4
1441,RR Richards,2013-2013,4,6,7.15,13.8,2013,2013,1
1442,CJ Rocchiccioli,2023-2023,5,6,8.55,18.0,2023,2023,1
1443,SP Roshan Kumar,2024-2024,7,6,13.7,10.0,2024,2024,1
1444,Sabbir Rahman,2012-2025,124,6,6.81,16.0,2012,2025,14
1445,S Saini,2019-2021,9,6,6.73,26.0,2019,2021,3
1446,K Saiteja,2023-2023,5,6,8.66,18.0,2023,2023,1
1447,SS Santhamoorthy,2019-2021,3,6,8.5,10.0,2019,2021,3
1448,Sanvir Singh,2021-2024,36,6,9.25,24.0,2021,2024,4
1449,RG Sharma,2007-2007,4,6,7.83,6.0,2007,2007,1
1450,Shiraz Ahmed,2021-2022,7,6,9.34,23.0,2021,2022,2
1451,Shivam Sharma,2021-2024,8,6,6.59,27.0,2021,2024,4
1452,Shoaib Akhtar,2008-2010,5,6,9.0,13.0,2008,2010,3
1453,SU Shrivastava,2009-2019,40,6,7.97,11.6,2009,2019,11
1454,HV Singh,2019-2023,12,6,9.83,28.6,2019,2023,5
1455,TP Singh,2007-2011,17,6,8.2,10.0,2007,2011,5
1456,VD Solanki,2007-2007,7,6,6.43,25.5,2007,2007,1
1457,WER Somerville,2016-2018,9,6,6.7,30.0,2016,2018,3
1458,Sourav Dey,2023-2023,10,6,9.09,20.6,2023,2023,1
1459,ND Stewart,2009-2016,23,6,9.29,32.5,2009,2016,8
1460,AS Thakare,2021-2021,4,6,5.54,15.5,2021,2021,1
1461,DJ Thornely,2008-2013,21,6,7.42,21.0,2008,2013,6
1462,P Utseya,2007-2014,9,6,6.64,34.0,2007,2014,8
1463,Vivek Kumar,2019-2019,9,6,8.36,30.8,2019,2019,1
1464,MTC Waller,2009-2011,5,6,6.85,14.0,2009,2011,3
1465,CM Willoughby,2009-2009,4,6,9.2,15.0,2009,2009,1
1466,SA Yadav,2010-2025,246,6,6.36,22.0,2010,2025,16
1467,SG Yadav,2010-2011,6,6,8.26,19.0,2010,2011,2
1468,AB Sonkar,2009-2009,5,5,5.36,20.8,2009,2009,1
1469,LL Samal,2009-2018,18,5,6.75,41.4,2009,2018,10
1470,Omar Alam,2016-2016,3,5,6.09,13.2,2016,2016,1
1471,Aaqib Khan,2021-2024,4,5,6.52,13.8,2021,2024,4
1472,Aayush Singh,2024-2024,2,5,4.16,7.2,2024,2024,1
1473,Abhishek Mohan,2018-2019,4,5,8.06,18.0,2018,2019,2
1474,Adnan Rasool,2014-2016,9,5,8.11,31.2,2014,2016,3
1475,Akeem Jordan,2019-2023,3,5,10.62,9.6,2019,2023,5
1476,Anurag Singh,2013-2015,4,5,6.33,14.4,2013,2015,3
1477,Avneesh Sudha,2019-2024,29,5,8.77,32.4,2019,2024,6
1478,Azeem Rafiq,2012-2012,6,5,7.39,25.0,2012,2012,1
1479,NP Basil,2022-2024,4,5,7.43,14.2,2022,2024,3
1480,NB Beard,2013-2013,6,5,7.72,21.6,2013,2013,1
1481,FD Bhaja,2009-2011,6,5,10.06,18.0,2009,2011,3
1482,R Bist,2007-2021,38,5,7.4,12.0,2007,2021,15
1483,D Brevis,2022-2025,55,5,8.66,9.0,2022,2025,4
1484,BA Carse,2023-2023,9,5,9.11,26.2,2023,2023,1
1485,PB Chakraborty,2014-2014,5,5,5.0,19.2,2014,2014,1
1486,ARPS Chauhan,2010-2018,10,5,8.66,14.4,2010,2018,9
1487,SJ Cook,2024-2024,2,5,10.46,9.4,2024,2024,1
1488,AG Cremer,2010-2017,7,5,6.8,24.0,2010,2017,8
1489,SS Dhuri,2007-2011,8,5,7.28,33.6,2007,2011,5
1490,AP Dole,2010-2010,3,5,10.18,13.2,2010,2010,1
1491,G Elaizar,2007-2011,5,5,5.25,9.6,2007,2011,5
1492,MG Erasmus,2021-2024,15,5,6.47,25.2,2021,2024,4
1493,Farhad Hossain,2012-2013,13,5,7.5,19.2,2012,2013,2
1494,Farmanullah,2024-2025,7,5,9.63,22.8,2024,2025,2
1495,Gagandeep Singh,2023-2024,11,5,7.37,29.6,2023,2024,2
1496,MG Gale,2013-2014,6,5,8.01,20.2,2013,2014,2
1497,SP Gauchan,2014-2014,3,5,6.72,13.2,2014,2014,1
1498,Girish Rauturi,2019-2021,9,5,10.0,19.2,2019,2021,3
1499,SM Gugale,2015-2021,18,5,9.52,15.0,2015,2021,7
1500,LJP Gunaratne,2011-2011,2,5,5.87,9.6,2011,2011,1
1501,Harvinder Singh,2007-2007,8,5,6.4,36.0,2007,2007,1
1502,D Heyliger,2024-2024,3,5,5.0,13.2,2024,2024,1
1503,Himanshu Singh,2024-2024,7,5,8.15,22.8,2024,2024,1
1504,MG Hogan,2012-2013,8,5,8.07,33.6,2012,2013,2
1505,A Jadhav,2007-2009,9,5,6.27,26.4,2007,2009,3
1506,GSNFG Jayasuriya,2013-2024,20,5,8.74,25.4,2013,2024,12
1507,Jishan Alam,2024-2025,9,5,7.8,31.2,2024,2025,2
1508,ROO Jordan,2014-2014,4,5,9.66,14.4,2014,2014,1
1509,A Kant Singh,2017-2019,5,5,7.95,19.0,2017,2019,3
1510,Karan Dagar,2019-2019,2,5,3.62,9.6,2019,2019,1
1511,SP Kirby,2011-2011,4,5,7.9,13.2,2011,2011,1
1512,N Kohli,2021-2021,7,5,9.29,24.8,2021,2021,1
1513,A Konwar,2009-2010,8,5,6.7,24.0,2009,2010,2
1514,Kranthi Kumar,2015-2021,8,5,7.76,30.0,2015,2021,7
1515,Kshitiz Sharma,2013-2023,25,5,7.08,28.8,2013,2023,11
1516,C Kyewuta,2024-2024,4,5,7.36,15.8,2024,2024,1
1517,Lalhruaizela,2019-2023,28,5,8.16,14.4,2019,2023,5
1518,AR Lamba,2018-2021,6,5,8.77,26.4,2018,2021,4
1519,RA Lewis,2019-2020,8,5,7.75,19.2,2019,2020,2
1520,CJ Liddle,2013-2013,9,5,7.88,32.4,2013,2013,1
1521,AR McBrine,2014-2016,5,5,9.18,13.2,2014,2016,3
1522,JM McMillan,2013-2013,5,5,6.05,21.6,2013,2013,1
1523,M Manhas,2007-2017,91,5,8.07,22.0,2007,2017,11
1524,CS Martin,2007-2011,6,5,7.47,27.6,2007,2011,5
1525,B Masaba,2024-2024,4,5,5.75,14.4,2024,2024,1
1526,WP Masakadza,2016-2022,4,5,7.21,16.8,2016,2022,7
1527,M Matthew,2014-2014,8,5,9.08,28.8,2014,2014,1
1528,Mayank Rawat,2024-2024,9,5,7.84,17.6,2024,2024,1
1529,NE Mbhalati,2012-2012,5,5,8.31,19.2,2012,2012,1
1530,NA McSweeney,2020-2025,26,5,6.79,10.6,2020,2025,6
1531,P Mehra,2010-2012,14,5,6.17,20.4,2010,2012,3
1532,Mehran Mumtaz,2024-2024,5,5,6.63,22.8,2024,2024,1
1533,KH Meitei,2019-2021,13,5,8.91,42.0,2019,2021,3
1534,KP Meiyappan,2022-2022,3,5,6.25,14.4,2022,2022,1
1535,Milind Kumar,2010-2024,68,5,8.58,40.4,2010,2024,15
1536,Mohammad Abbas,2019-2019,3,5,5.75,14.4,2019,2019,1
1537,Mohammad Saddam,2016-2019,9,5,9.96,23.6,2016,2019,4
1538,Mominul Haque,2012-2024,85,5,8.0,15.6,2012,2024,13
1539,IA Moran,2012-2015,6,5,9.6,12.0,2012,2015,4
1540,Mukesh Sharma,2009-2010,9,5,6.43,33.2,2009,2010,2
