,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length
843,RP Dahiya,2009-2018,46,353,13.07,124.29,21,15,2009,2018,10
844,SJ Myburgh,2014-2022,15,353,25.21,135.24,47,14,2014,2022,9
845,SK Rasheed,2022-2024,17,352,29.33,127.07,34,11,2022,2024,3
846,Raghav Dhawan,2015-2022,14,351,27.0,108.66,39,6,2015,2022,8
847,PK Debnath,2010-2018,21,350,21.87,110.06,31,12,2010,2018,9
848,SS Sharma,2023-2024,19,349,24.92,147.88,24,18,2023,2024,2
849,J Suchith,2014-2024,86,349,13.96,120.34,28,12,2014,2024,11
850,DC Drakes,2018-2024,40,347,18.26,130.45,28,18,2018,2024,7
851,A Balbirnie,2021-2024,18,346,19.22,106.46,27,14,2021,2024,4
852,SF Khan,2018-2023,20,346,23.06,124.01,29,8,2018,2023,6
853,KC Raval,2011-2014,12,346,38.44,171.28,29,18,2011,2014,4
854,Tajinder Singh,2017-2024,22,346,23.06,144.16,30,13,2017,2024,8
855,A Athanaze,2023-2024,19,344,22.93,106.83,26,13,2023,2024,2
856,AM McCarthy,2016-2024,25,344,17.2,117.4,22,18,2016,2024,9
857,AG Pradeep,2007-2016,24,344,17.2,107.16,27,7,2007,2016,10
858,SR Taylor,2015-2025,31,344,12.28,97.72,33,12,2015,2025,11
859,PC de Silva,2016-2025,49,341,10.33,115.2,29,15,2016,2025,10
860,JS Lehmann,2016-2022,33,341,14.2,109.29,34,3,2016,2022,7
861,Qais Ahmad,2018-2023,74,340,13.07,126.86,20,24,2018,2023,6
862,S Ghadigaonkar,2023-2024,16,338,24.14,146.95,29,16,2023,2024,2
863,Hasan Ali,2016-2024,112,338,10.24,141.42,23,17,2016,2024,9
864,R Ravindra,2024-2024,20,338,17.78,143.82,29,18,2024,2024,1
865,Abdul Basith,2022-2024,23,335,30.45,135.08,23,19,2022,2024,3
866,HK Badani,2007-2011,18,335,25.76,119.21,30,8,2007,2011,5
867,A Chopra,2008-2013,21,334,18.55,91.25,28,1,2008,2013,6
868,Amit Yadav,2007-2022,48,333,11.89,132.66,11,24,2007,2022,16
869,RA Herman,2025-2025,9,333,41.62,128.07,30,13,2025,2025,1
870,S Milenko,2014-2020,42,333,15.13,120.65,24,13,2014,2020,7
871,MN van Wyk,2009-2017,14,333,27.75,121.53,41,5,2009,2017,9
872,VVS Laxman,2008-2011,22,332,16.6,107.79,41,5,2008,2011,4
873,KJ Rakesh,2007-2014,29,332,18.44,112.16,26,11,2007,2014,8
874,MJ Santner,2014-2024,53,332,19.52,113.31,18,15,2014,2024,11
875,Umar Amin,2016-2021,21,332,23.71,108.14,36,4,2016,2021,6
876,Manzoor Dar,2017-2021,23,330,22.0,146.66,29,19,2017,2021,5
877,BR Sharath,2018-2024,29,330,15.0,117.43,30,12,2018,2024,7
878,T de Zorzi,2018-2025,14,329,25.3,142.42,44,10,2018,2025,8
879,CJ Boyce,2012-2025,105,327,10.54,115.14,22,17,2012,2025,14
880,M Vikneshwaran,2019-2024,35,327,14.21,102.5,27,12,2019,2024,6
881,SS Eskinazi,2023-2025,17,326,21.73,116.01,34,9,2023,2025,3
882,RR Singh,2019-2024,33,326,12.07,113.19,18,13,2019,2024,6
883,S Daniel,2022-2024,16,324,20.25,113.68,31,13,2022,2024,3
884,PA Jaques,2011-2012,13,324,29.45,119.11,37,2,2011,2012,2
885,AA Kulkarni,2023-2024,14,324,24.92,145.29,33,15,2023,2024,2
886,SPP Samal,2019-2024,11,324,29.45,161.19,32,17,2019,2024,6
887,Saud Shakeel,2024-2024,10,323,35.88,141.66,31,15,2024,2024,1
888,B Akhil,2007-2011,35,321,17.83,148.61,30,12,2007,2011,5
889,Harsh Tyagi,2019-2024,41,321,22.92,134.87,24,16,2019,2024,6
890,AA Malek,2007-2017,18,321,21.4,137.17,35,9,2007,2017,11
891,CV Milind,2013-2024,73,321,13.95,137.76,21,16,2013,2024,12
892,Jay Gohil,2021-2024,23,319,29.0,155.6,21,25,2021,2024,4
893,ND McKenzie,2010-2014,16,319,26.58,119.02,38,3,2010,2014,5
894,JR Dean,2013-2018,22,317,19.81,133.75,19,24,2013,2018,6
895,Fabid Ahmed,2015-2024,43,317,12.68,101.6,11,15,2015,2024,10
896,RE Levi,2011-2014,17,317,21.13,126.29,36,12,2011,2014,4
897,P Prasanth,2007-2018,49,316,17.55,132.21,22,17,2007,2018,12
898,Sumit Kumar,2016-2023,21,313,17.38,98.73,30,8,2016,2023,8
899,C Campher,2021-2024,24,312,18.35,127.86,27,8,2021,2024,4
900,L Croospulle,2022-2024,15,312,22.28,130.54,30,8,2022,2024,3
901,B Lee,2007-2015,97,312,12.0,128.92,20,19,2007,2015,9
902,C Madan,2009-2013,20,311,23.92,110.28,30,6,2009,2013,5
903,Naman Dhir,2023-2024,19,311,19.43,155.5,26,17,2023,2024,2
904,UT Yadav,2009-2024,185,311,10.72,121.96,21,19,2009,2024,16
905,H Chawla,2013-2016,23,310,18.23,140.9,29,10,2013,2016,4
906,Samarth Seth,2019-2024,14,309,25.75,108.04,37,6,2019,2024,6
907,RA Bawa,2022-2024,20,308,23.69,127.27,18,17,2022,2024,3
908,PJ Bhati,2013-2018,15,308,34.22,127.8,29,10,2013,2018,6
909,N McAndrew,2016-2025,68,308,14.0,149.51,29,11,2016,2025,10
910,AN Petersen,2010-2013,14,308,28.0,135.68,35,7,2010,2013,4
911,JD Wildermuth,2016-2022,54,307,10.58,118.07,11,17,2016,2022,7
912,NJ O'Brien,2009-2016,23,306,19.12,105.15,21,6,2009,2016,8
913,MG Erasmus,2021-2024,15,305,23.46,102.69,24,6,2021,2024,4
914,SS Kumar,2009-2019,23,305,27.72,164.86,24,16,2009,2019,11
915,AV Rajput,2021-2024,23,305,20.33,136.16,26,17,2021,2024,4
916,G Upadhyaya,2007-2014,19,305,20.33,128.69,19,19,2007,2014,8
917,JA Richardson,2016-2025,79,304,13.81,114.71,20,12,2016,2025,10
918,H Masakadza,2007-2016,19,303,15.94,104.12,31,5,2007,2016,10
919,AA Sheth,2015-2024,63,303,23.3,127.84,25,12,2015,2024,10
920,Ashutosh Singh,2016-2024,17,302,18.87,111.02,23,8,2016,2024,9
921,Manender Singh,2016-2021,23,302,13.72,111.43,23,13,2016,2021,6
922,Younis Khan,2007-2009,15,302,27.45,121.77,21,8,2007,2009,3
923,Mayank Raghav,2019-2019,6,301,60.2,143.33,33,14,2019,2019,1
924,SA Rawat,2017-2021,21,301,17.7,113.15,20,11,2017,2021,5
925,AS Joseph,2016-2024,107,300,13.04,106.38,21,14,2016,2024,9
926,JA Rudolph,2012-2013,14,300,33.33,112.35,31,5,2012,2013,2
927,AR Rohera,2023-2024,9,299,33.22,135.9,31,11,2023,2024,2
928,UR Patel,2010-2017,25,298,21.28,112.03,20,6,2010,2017,8
929,AA Bhandari,2010-2019,45,297,11.42,110.0,18,12,2010,2019,10
930,P Chandila,2016-2022,25,297,19.8,111.23,27,9,2016,2022,7
931,D Himganekar,2017-2024,40,297,18.56,137.5,27,10,2017,2024,8
932,JD Desai,2007-2014,19,294,22.61,119.02,18,11,2007,2014,8
933,A Sahani,2019-2022,29,294,12.78,102.43,22,11,2019,2022,4
934,HT Tector,2021-2024,24,293,15.42,97.34,21,7,2021,2024,4
935,RGL Carters,2010-2016,31,292,15.36,101.03,16,6,2010,2016,7
936,MW Hill,2013-2016,12,292,26.54,121.66,24,9,2013,2016,4
937,BS Pati,2007-2016,21,291,13.85,97.65,30,3,2007,2016,10
938,Saad Nasim,2014-2018,14,290,24.16,130.04,26,8,2014,2018,5
939,SS Sharma,2021-2023,17,290,19.33,106.61,33,4,2021,2023,3
940,Usman Ghani,2016-2023,13,290,26.36,110.26,24,11,2016,2023,8
941,PP Jaswal,2014-2023,60,289,11.56,181.76,14,26,2014,2023,10
942,PP Singh,2019-2023,24,289,16.05,80.27,25,8,2019,2023,5
943,Taskin Ahmed,2013-2025,120,288,8.0,95.04,22,10,2013,2025,13
944,Asghar Afghan,2010-2021,16,287,22.07,103.61,13,13,2010,2021,12
945,Abhishek Goswami,2021-2023,12,286,23.83,116.73,32,9,2021,2023,3
946,AB Agarkar,2007-2013,61,286,14.3,125.43,23,8,2007,2013,7
947,IA Cockbain,2022-2022,9,286,40.85,138.83,24,10,2022,2022,1
948,Parameeswaran S,2022-2024,16,286,23.83,106.71,19,11,2022,2024,3
949,IR Bell,2016-2019,11,285,35.62,125.0,25,6,2016,2019,4
950,V Devendran,2007-2007,10,285,31.66,136.36,32,14,2007,2007,1
951,RJ Gibson,2016-2023,29,285,15.0,104.77,23,5,2016,2023,8
952,Muktar Ali,2012-2023,48,284,20.28,103.64,17,13,2012,2023,12
953,Kishan Lyngdoh,2021-2022,10,283,35.37,124.12,35,6,2021,2022,2
954,Anureet Singh,2009-2021,71,282,15.66,108.88,20,15,2009,2021,13
955,SR Hain,2023-2025,19,282,21.69,113.25,19,7,2023,2025,3
956,K Rabada,2016-2025,130,282,11.75,105.61,23,10,2016,2025,10
957,DLR Smith,2009-2014,31,282,11.75,98.94,32,5,2009,2014,6
958,RTM Mendis,2020-2024,30,280,23.33,151.35,20,13,2020,2024,5
959,NL McCullum,2007-2016,46,279,12.68,117.22,20,9,2007,2016,10
960,Abid Nabi,2007-2017,25,278,12.08,130.51,22,14,2007,2017,11
961,TC Bruce,2024-2024,9,278,46.33,128.11,22,11,2024,2024,1
962,S Nadeem,2007-2023,150,278,7.72,89.38,18,7,2007,2023,17
963,JB Ozukum,2021-2024,21,278,17.37,109.88,34,7,2021,2024,4
964,RR Das,2007-2010,15,277,19.78,128.83,29,5,2007,2010,4
965,LSM Keishangbam,2021-2023,19,276,18.4,77.52,16,2,2021,2023,3
966,MF Maharoof,2007-2014,31,276,17.25,124.32,16,13,2007,2014,8
967,J Overton,2023-2025,18,276,69.0,150.81,16,14,2023,2025,3
968,Samiullah Shinwari,2010-2025,29,276,13.8,116.94,25,8,2010,2025,16
969,Dhruv Singh,2007-2013,25,275,21.15,100.36,23,2,2007,2013,7
970,AS Naidu,2007-2011,14,275,21.15,107.84,25,4,2007,2011,5
971,A Rana,2010-2022,22,275,14.47,97.86,31,7,2010,2022,13
972,SD Jogiyani,2007-2015,19,273,16.05,97.15,38,3,2007,2015,9
973,BB Lather,2021-2024,24,273,24.81,125.8,19,18,2021,2024,4
974,Mohammad Amir,2009-2024,189,273,7.37,104.59,24,9,2009,2024,16
975,JM Kemp,2007-2014,22,272,38.85,124.2,15,14,2007,2014,8
976,SB Wagh,2007-2021,63,272,14.31,98.19,16,7,2007,2021,15
977,HH Zhimomi,2019-2024,32,272,13.6,85.0,20,6,2019,2024,6
978,Al-Amin,2015-2023,29,270,13.5,112.03,25,8,2015,2023,9
979,Munim Shahriar,2022-2025,14,270,20.76,122.72,27,14,2022,2025,4
980,MD Rahmatullah,2019-2021,16,270,22.5,121.07,16,14,2019,2021,3
981,Sachin K Singh,2021-2024,24,270,16.87,111.57,28,4,2021,2024,4
982,Yasir Khan,2022-2024,14,270,20.76,126.16,34,7,2022,2024,3
983,DR Behera,2009-2017,39,269,13.45,122.27,23,9,2009,2017,9
984,PK Kumar,2021-2024,19,269,20.69,132.51,12,18,2021,2024,4
985,M Sidhana,2009-2016,22,269,16.81,104.66,24,2,2009,2016,8
986,V Dhankhar,2023-2024,12,268,22.33,128.84,26,13,2023,2024,2
987,Nitin Sharma,2019-2022,24,267,15.7,134.17,18,13,2019,2022,4
988,MG Patel,2019-2024,17,267,20.53,124.18,26,8,2019,2024,6
989,TS Rogers,2017-2025,61,267,19.07,117.1,17,11,2017,2025,9
990,TP Singh,2007-2011,17,267,15.7,107.66,24,4,2007,2011,5
991,S Chaubey,2016-2023,25,265,14.72,114.22,14,12,2016,2023,8
992,MG Johnson,2007-2018,95,265,13.94,110.41,20,9,2007,2018,12
993,VM Sai,2007-2013,19,265,14.72,92.65,27,4,2007,2013,7
994,S Abbas Ali,2007-2013,19,264,15.52,100.76,25,10,2007,2013,7
995,Darwish Rasooli,2019-2025,14,264,22.0,120.54,18,11,2019,2025,7
996,Aman Hakim Khan,2021-2023,25,263,15.47,136.26,22,15,2021,2023,3
997,AN Ghosh,2007-2018,20,263,18.78,100.0,20,2,2007,2018,12
998,Irfan Khan,2023-2024,17,263,32.87,138.42,27,8,2023,2024,2
999,N Lamichaney,2019-2024,30,263,11.43,70.69,25,1,2019,2024,6
1000,PJ Sangwan,2007-2023,102,262,11.9,108.26,26,7,2007,2023,17
1001,Natraj Behera,2007-2014,16,261,17.4,105.66,26,5,2007,2014,8
1002,RS Ricky,2007-2007,10,261,32.62,110.59,26,4,2007,2007,1
1003,Lalhmangaiha,2019-2022,21,260,13.68,73.44,35,3,2019,2022,4
1004,A Lyth,2012-2023,19,260,14.44,115.55,25,9,2012,2023,12
1005,Mirza Baig,2023-2024,12,260,21.66,123.22,30,10,2023,2024,2
1006,T Bavuma,2013-2024,18,259,18.5,111.15,19,7,2013,2024,12
1007,SS Mondal,2011-2016,23,259,19.92,111.15,23,5,2011,2016,6
1008,S Narwal,2009-2014,32,259,19.92,158.89,19,14,2009,2014,6
1009,D Potgieter,2023-2025,23,259,37.0,158.89,20,16,2023,2025,3
1010,P Tamang,2019-2024,41,259,7.19,67.09,28,4,2019,2024,6
1011,S van Zyl,2009-2020,16,259,21.58,119.35,16,9,2009,2020,12
1012,GC Viljoen,2013-2025,42,259,13.63,114.09,18,13,2013,2025,13
1013,YJ Nahar,2019-2022,17,259,17.26,115.62,24,11,2019,2022,4
1014,HP Agarwal,2016-2021,20,258,14.33,95.91,13,10,2016,2021,6
1015,Varun Sood,2013-2021,30,258,25.8,108.4,18,10,2013,2021,9
1016,JJ Cobb,2011-2016,20,257,16.06,126.6,19,14,2011,2016,6
1017,Bharat Sharma,2021-2024,11,256,25.6,145.45,29,13,2021,2024,4
1018,Ankur Malik,2022-2024,20,255,23.18,88.23,25,5,2022,2024,3
1019,AV Kolhar,2013-2019,14,255,21.25,113.83,32,1,2013,2019,7
1020,SZ Mulani,2018-2024,51,255,15.0,123.78,26,6,2018,2024,7
1021,GSNFG Jayasuriya,2013-2024,20,254,15.87,94.42,20,8,2013,2024,12
1022,K Kushagra,2021-2024,22,254,14.94,125.12,12,15,2021,2024,4
1023,KS Rathore,2022-2023,12,254,36.28,138.04,19,9,2022,2023,2
1024,S Rupero,2019-2024,27,254,12.09,69.78,22,3,2019,2024,6
1025,Jyotsnil Singh,2022-2023,11,253,23.0,126.5,28,8,2022,2023,2
1026,WTS Porterfield,2009-2016,15,253,21.08,104.97,25,5,2009,2016,8
1027,Ashar Zaidi,2015-2016,17,252,28.0,121.73,20,10,2015,2016,2
1028,RM Fernandez,2010-2013,15,252,31.5,92.98,16,4,2010,2013,4
1029,Muhammad Waseem,2022-2024,10,252,28.0,124.13,15,14,2022,2024,3
1030,K Sumanth,2016-2021,26,252,12.6,110.52,17,4,2016,2021,6
1031,J Avendano,2019-2022,19,251,14.76,112.55,17,14,2019,2022,4
1032,HR Barad,2013-2021,24,251,13.94,107.72,20,8,2013,2021,9
1033,Adil Reshi,2011-2019,19,250,13.15,100.4,26,7,2011,2019,9
1034,M Kaushik,2019-2024,14,250,19.23,97.65,30,8,2019,2024,6
1035,J Liyanage,2021-2024,16,250,19.23,124.37,24,6,2021,2024,4
1036,AA Nandi,2010-2021,39,250,19.23,123.15,25,8,2010,2021,12
1037,PI Walter,2023-2025,22,250,16.66,127.55,26,8,2023,2025,3
1038,TT Bresnan,2010-2018,33,249,24.9,138.33,22,10,2010,2018,9
1039,B Sumanth,2007-2015,19,249,27.66,122.66,15,7,2007,2015,9
1040,CN Ackermann,2021-2024,16,248,16.53,103.76,18,6,2021,2024,4
1041,AU Rashid,2009-2024,70,247,20.58,125.38,25,6,2009,2024,16
1042,KV Siddharth,2019-2024,15,246,27.33,131.55,23,9,2019,2024,6
1043,SK Wath,2017-2022,18,246,13.66,107.89,32,5,2017,2022,6
1044,Amit Kumar,2013-2021,26,245,11.66,97.6,24,5,2013,2021,9
1045,HM Patel,2019-2024,20,245,30.62,130.31,19,12,2019,2024,6
1046,Ravikant Shukla,2007-2013,15,245,17.5,107.45,19,7,2007,2013,7
1047,A Gaud,2021-2024,14,244,17.42,119.02,22,12,2021,2024,4
1048,SM Jain,2016-2024,18,244,16.26,115.09,19,9,2016,2024,9
1049,Neelam Obi,2019-2023,22,244,11.09,66.3,29,4,2019,2023,5
1050,R Chouhan,2019-2023,21,243,16.2,119.7,18,9,2019,2023,5
1051,Sohag Gazi,2012-2025,73,243,10.56,98.38,18,7,2012,2025,14
1052,RR Biswa,2019-2022,20,242,12.1,88.64,32,5,2019,2022,4
1053,DAS Gunaratne,2019-2023,17,242,22.0,123.46,22,5,2019,2023,5
1054,Lalhruaizela,2019-2023,28,242,11.52,58.03,14,4,2019,2023,5
1055,Shahadat Hossain (3),2024-2025,14,242,24.2,105.21,24,6,2024,2025,2
1056,AN Ahmed,2007-2021,80,241,8.6,111.57,14,11,2007,2021,15
1057,Anshuman Rath,2016-2022,13,241,21.9,91.28,21,1,2016,2022,7
1058,DG Bedingham,2025-2025,13,241,20.08,119.9,28,2,2025,2025,1
1059,MJ Clarke,2007-2012,22,241,13.38,93.77,22,1,2007,2012,6
1060,SR Lumba,2014-2019,21,240,16.0,105.26,8,14,2014,2019,6
1061,DG Pathania,2017-2022,40,240,20.0,131.14,15,12,2017,2022,6
1062,Tahir Khan,2007-2013,14,240,17.14,97.95,28,1,2007,2013,7
1063,T Ravi Teja,2017-2024,42,239,9.95,107.17,18,7,2017,2024,8
1064,Mohammad Wasim (1),2021-2025,61,238,11.33,120.2,18,14,2021,2025,5
1065,AJ Nair,2016-2022,35,238,19.83,118.4,14,7,2016,2022,7
1066,DW Lawrence,2020-2025,12,237,21.54,128.8,24,8,2020,2025,6
1067,DT Patil,2007-2010,14,237,18.23,113.94,29,2,2007,2010,4
1068,Hardeep Singh,2007-2014,15,236,16.85,95.93,19,4,2007,2014,8
1069,Nadif Chowdhury,2007-2022,34,236,11.8,99.15,10,11,2007,2022,16
1070,J Lalthankhuma,2021-2024,25,235,11.75,75.32,16,2,2021,2024,4
1071,SH Marathe,2010-2014,8,235,33.57,134.28,27,6,2010,2014,5
1072,ST Paul,2022-2024,11,235,23.5,142.42,20,13,2022,2024,3
1073,GB Gaikwad,2009-2013,18,234,21.27,112.5,16,6,2009,2013,5
1074,RR Rathod,2019-2023,16,234,23.4,126.48,14,10,2019,2023,5
1075,Abu Hider,2015-2025,76,233,12.94,116.5,16,13,2015,2025,11
1076,Kuldeep Yadav,2014-2024,126,233,15.53,88.25,21,3,2014,2024,11
1077,Mujeeb Ur Rahman,2017-2025,151,233,8.03,103.09,18,9,2017,2025,9
1078,S Sriram,2007-2011,15,233,21.18,99.57,16,2,2007,2011,5
1079,RD Chahar,2017-2024,121,232,9.66,103.57,21,7,2017,2024,8
1080,GD Elliott,2016-2017,27,232,13.64,106.91,14,7,2016,2017,2
1081,Arafat Sunny,2012-2025,106,231,12.83,84.0,15,4,2012,2025,14
1082,S Sanyal,2007-2014,23,231,33.0,129.05,22,4,2007,2014,8
1083,R McLaren,2009-2013,23,230,25.55,96.63,23,2,2009,2013,5
1084,P Girinath Reddy,2016-2022,22,228,19.0,135.71,12,14,2016,2022,7
1085,Haris Sohail,2012-2019,13,228,22.8,89.76,20,4,2012,2019,8
1086,WA Mota,2007-2010,21,228,15.2,91.56,19,3,2007,2010,4
1087,Akbar Ali,2022-2025,27,227,17.46,118.22,18,11,2022,2025,4
1088,MH Cross,2016-2024,18,227,16.21,93.8,16,7,2016,2024,9
1089,SK Springer,2016-2024,30,227,15.13,102.25,13,9,2016,2024,9
1090,SL Malinga,2007-2019,195,226,9.04,107.61,15,14,2007,2019,13
1091,D Mongia,2007-2007,10,226,25.11,118.32,23,3,2007,2007,1
1092,Parvinder Singh,2007-2011,10,226,28.25,120.85,21,1,2007,2011,5
1093,AL Phehlukwayo,2014-2025,22,226,17.38,123.49,22,9,2014,2025,12
1094,ST Suwalka,2014-2016,14,226,16.14,97.83,37,0,2014,2016,3
1095,Zeeshan Ashraf,2020-2022,16,226,16.14,125.55,26,7,2020,2022,3
1096,SJ Desai,2021-2024,15,225,20.45,111.94,13,9,2021,2024,4
1097,I Khaleel,2007-2018,19,225,16.07,119.04,20,3,2007,2018,12
1098,SG Rawat,2021-2024,7,225,32.14,153.06,19,11,2021,2024,4
1099,J Anderson,2023-2024,14,224,16.0,86.48,26,2,2023,2024,2
1100,CK Chundawat,2015-2021,39,224,16.0,110.89,17,6,2015,2021,7
1101,Pratik Desai,2007-2021,11,224,20.36,119.14,25,5,2007,2021,15
1102,Farman Ahmed,2009-2012,11,224,20.36,104.67,32,4,2009,2012,4
1103,M Kartik,2008-2014,77,224,16.0,117.89,21,4,2008,2014,7
1104,DS Kulkarni,2007-2023,160,224,10.66,100.0,19,4,2007,2023,17
1105,GM Choudhury,2021-2024,8,222,31.71,156.33,19,14,2021,2024,4
1106,KJ Coetzer,2009-2021,13,222,20.18,124.02,20,9,2009,2021,13
1107,CK Kapugedera,2008-2017,24,222,11.1,99.1,13,8,2008,2017,10
1108,Tayyab Tahir,2023-2024,11,222,31.71,147.01,26,5,2023,2024,2
1109,Arjun Azad,2023-2024,10,221,24.55,147.33,27,9,2023,2024,2
1110,XC Bartlett,2020-2025,49,221,15.78,119.45,21,4,2020,2025,6
1111,SS Agarwal,2017-2024,26,220,31.42,134.96,11,10,2017,2024,8
1112,DW Steyn,2008-2021,156,220,7.85,108.37,18,6,2008,2021,14
1113,C Esterhuizen,2024-2025,11,219,31.28,120.99,15,9,2024,2025,2
1114,Pargat Singh,2016-2024,12,219,19.9,108.41,28,3,2016,2024,9
1115,NN Sen Chowdhary,2014-2023,16,219,15.64,94.8,20,0,2014,2023,10
1116,SSD Arachchige,2020-2024,24,218,15.57,103.8,18,7,2020,2024,5
1117,MJ Dagar,2017-2024,66,218,10.9,106.34,21,5,2017,2024,8
1118,DP Salvi,2009-2012,13,218,36.33,150.34,15,9,2009,2012,4
1119,Nakul Sharma,2018-2023,19,217,18.08,121.91,16,9,2018,2023,6
1120,SM Singha,2013-2021,17,217,14.46,84.76,28,2,2013,2021,9
1121,Amitoze Singh,2010-2013,17,216,18.0,124.85,17,8,2010,2013,4
1122,TM Beaton,2012-2016,14,216,30.85,146.93,15,8,2012,2016,5
1123,KK Acharjee,2011-2021,22,215,13.43,92.67,16,4,2011,2021,11
1124,Arslan Khan,2021-2024,6,215,43.0,190.26,23,14,2021,2024,4
1125,Jaskaran Singh,2009-2021,32,214,17.83,146.57,13,15,2009,2021,13
1126,Uvais Ahmad,2019-2019,7,214,35.66,168.5,19,13,2019,2019,1
1127,CK Coventry,2010-2013,13,213,17.75,136.53,27,10,2010,2013,4
1128,LU Igalagamage,2020-2024,17,213,15.21,109.23,22,4,2020,2024,5
1129,P Mehra,2010-2012,14,213,21.3,117.03,12,8,2010,2012,3
1130,SMA Priyanjan,2012-2023,19,213,16.38,112.1,22,2,2012,2023,12
1131,SM Gugale,2015-2021,18,212,12.47,105.47,24,7,2015,2021,7
1132,MA Leask,2016-2024,16,212,19.27,141.33,16,11,2016,2024,9
1133,F Behardien,2012-2016,20,210,19.09,117.31,10,8,2012,2016,5
1134,S Purkayastha,2009-2024,30,210,10.0,89.74,24,3,2009,2024,16
1135,T Thyagarajan,2018-2024,31,210,16.15,140.0,16,9,2018,2024,7
1136,KOA Powell,2013-2020,12,209,19.0,104.5,22,4,2013,2020,8
1137,LPC Silva,2007-2013,18,209,13.93,111.17,24,4,2007,2013,7
1138,GH Bodi,2012-2012,6,208,34.66,117.51,16,10,2012,2012,1
1139,JS Floros,2011-2018,25,208,13.86,104.0,17,6,2011,2018,8
1140,AK Sahoo,2007-2016,22,208,20.8,121.63,16,8,2007,2016,10
1141,RG Hazarika,2022-2022,7,207,29.57,115.0,29,2,2022,2022,1
1142,Deepak Sharma,2009-2010,10,206,25.75,118.39,17,4,2009,2010,2
1143,A Flintoff,2007-2015,15,206,18.72,124.09,18,6,2007,2015,9
1144,AB Fudadin,2010-2017,14,206,29.42,104.04,12,8,2010,2017,8
1145,M Jaiswal,2021-2024,15,206,22.88,142.06,12,12,2021,2024,4
1146,Naveen-ul-Haq,2019-2025,122,206,10.84,94.49,21,5,2019,2025,7
1147,N Surendran,2013-2016,14,206,14.71,107.85,29,0,2013,2016,4
1148,JW Hastings,2010-2018,50,205,10.78,135.76,11,13,2010,2018,9
1149,Imran Tahir,2013-2025,226,204,7.55,95.32,21,4,2013,2025,13
1150,R Banik,2007-2017,18,203,11.94,90.22,19,3,2007,2017,11
1151,AD Mascarenhas,2007-2014,33,203,10.15,100.0,12,4,2007,2014,8
1152,KS Shahabuddin,2007-2013,16,203,13.53,117.34,18,7,2007,2013,7
1153,Jafar Jamal,2010-2016,20,202,16.83,138.35,14,12,2010,2016,7
1154,K Karan Shinde,2016-2023,11,202,33.66,150.74,22,9,2016,2023,8
1155,TIF Triffitt,2011-2015,30,202,12.62,122.42,14,9,2011,2015,5
1156,A Zampa,2012-2025,179,202,5.77,84.87,15,3,2012,2025,14
1157,J Anand,2012-2015,15,201,18.27,95.26,14,6,2012,2015,4
1158,LA Garg,2014-2023,50,201,12.56,118.93,14,11,2014,2023,10
1159,DD Hada,2014-2017,11,201,20.1,110.43,19,5,2014,2017,4
1160,Kartik Sharma,2024-2024,7,201,33.5,164.75,9,17,2024,2024,1
1161,M Louis,2024-2024,9,201,28.71,141.54,15,14,2024,2024,1
1162,PS Mehta,2007-2013,17,201,13.4,98.52,14,5,2007,2013,7
1163,CR Pathak,2007-2011,13,200,15.38,84.38,23,0,2007,2011,5
1164,VC Sahni,2007-2007,9,199,28.42,132.66,23,4,2007,2007,1
1165,Chetan Sharma,2010-2011,8,199,28.42,101.01,21,3,2010,2011,2
1166,MA Jones,2022-2024,7,199,33.16,139.16,18,9,2022,2024,3
1167,Mizanur Rahman,2012-2025,22,199,10.47,87.66,23,4,2012,2025,14
1168,MD Patel,2024-2024,9,199,22.11,111.17,20,6,2024,2024,1
1169,Piyush Joshi,2021-2023,11,199,19.9,115.69,16,7,2021,2023,3
1170,Shafiqullah,2012-2020,14,199,18.09,134.45,17,10,2012,2020,9
1171,MT Steketee,2014-2025,78,199,7.37,101.53,11,9,2014,2025,12
1172,Rameez Khan,2010-2013,16,198,18.0,120.0,23,5,2010,2013,4
1173,G Roelofsen,2023-2023,10,198,22.0,112.5,18,4,2023,2023,1
1174,SK Warne,2008-2013,70,198,9.9,92.52,14,6,2008,2013,6
1175,Wasiqur Rahman,2016-2022,23,198,15.23,103.66,9,9,2016,2022,7
1176,AS Yadav,2007-2011,19,198,14.14,111.23,17,7,2007,2011,5
1177,Yudhvir Singh,2019-2024,33,198,9.9,196.03,12,19,2019,2024,6
1178,SP Fleming,2008-2008,10,196,21.77,118.78,27,3,2008,2008,1
1179,Mohammad Saif,2021-2024,10,196,21.77,118.78,21,5,2021,2024,4
1180,R Pattnaik,2022-2024,16,196,17.81,179.81,23,10,2022,2024,3
1181,AG Prince,2010-2011,10,196,19.6,120.98,18,5,2010,2011,2
1182,Zafar Ali,2007-2016,12,196,21.77,113.29,21,6,2007,2016,10
1183,JG Bethell,2024-2025,8,195,24.37,125.0,15,9,2024,2025,2
1184,HDRL Thirimanne,2012-2016,19,194,12.93,110.85,18,5,2012,2016,5
1185,RS Khaira,2022-2024,13,193,17.54,116.26,18,5,2022,2024,3
1186,Umar Siddiq,2014-2019,12,193,17.54,103.76,15,8,2014,2019,6
1187,DA Chougule,2007-2007,9,192,32.0,110.98,21,0,2007,2007,1
1188,RA Whiteley,2017-2023,20,192,16.0,112.28,8,9,2017,2023,7
