,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length
0,CH Gayle,2007-2022,356,11448,36.92,143.92,866,839,2007,2022,16
1,V Kohli,2007-2024,308,9965,40.5,132.39,887,325,2007,2024,18
2,KA Pollard,2009-2024,493,9608,29.47,148.7,609,639,2009,2024,16
3,DA Warner,2009-2025,279,9296,38.25,138.82,937,330,2009,2025,17
4,RG Sharma,2007-2024,337,8878,30.93,131.91,807,374,2007,2024,18
5,S Dhawan,2007-2024,277,8289,33.83,125.17,939,192,2007,2024,18
6,F du Plessis,2012-2025,273,8251,34.52,139.21,760,323,2012,2025,14
7,SR Watson,2007-2020,297,7623,29.2,137.07,688,403,2007,2020,14
8,SK Raina,2008-2021,288,7605,32.08,137.52,687,285,2008,2021,14
9,Shoaib Malik,2007-2024,314,7325,32.7,124.46,531,239,2007,2024,18
10,RV Uthappa,2007-2022,284,7101,28.06,133.17,701,264,2007,2022,16
11,KD Karthik,2007-2025,365,6966,26.79,136.13,672,235,2007,2025,19
12,GJ Maxwell,2010-2025,301,6934,29.01,155.29,576,361,2010,2025,16
13,AB de Villiers,2007-2021,244,6892,39.15,150.54,544,327,2007,2021,15
14,CA Lynn,2011-2025,227,6579,32.89,144.49,571,357,2011,2025,15
15,AD Russell,2012-2025,388,6577,27.17,168.68,458,528,2012,2025,14
16,AM Rahane,2007-2024,253,6470,30.09,124.27,658,154,2007,2024,18
17,SV Samson,2011-2024,251,6445,30.25,135.14,533,287,2011,2024,14
18,MK Pandey,2007-2024,275,6433,30.92,123.47,542,205,2007,2024,18
19,MS Dhoni,2007-2024,326,6371,38.37,137.27,439,303,2007,2024,18
20,JC Buttler,2009-2024,202,6293,36.58,142.76,598,267,2009,2024,16
21,BB McCullum,2007-2019,249,6257,27.68,131.64,598,293,2007,2019,13
22,AJ Finch,2010-2024,219,6057,30.9,129.61,565,225,2010,2024,15
23,AT Rayudu,2007-2023,290,6036,26.59,125.09,495,229,2007,2023,17
24,DR Smith,2007-2019,234,6003,28.31,126.56,605,278,2007,2019,13
25,G Gambhir,2007-2018,235,5994,28.95,120.6,699,86,2007,2018,12
26,SA Yadav,2010-2024,242,5749,32.85,146.77,595,216,2010,2024,15
27,LMP Simmons,2009-2022,203,5728,30.63,119.85,542,245,2009,2022,14
28,N Pooran,2013-2024,260,5718,28.3,150.59,381,396,2013,2024,12
29,DA Miller,2012-2025,275,5711,34.19,135.78,415,250,2012,2025,14
30,KL Rahul,2013-2024,168,5685,42.74,134.71,482,228,2013,2024,12
31,Q de Kock,2012-2025,209,5651,29.89,134.32,560,235,2012,2025,14
32,AD Hales,2012-2025,194,5640,31.68,145.06,597,243,2012,2025,14
33,C Munro,2011-2025,206,5545,31.32,132.65,466,256,2011,2025,15
34,ADS Fletcher,2009-2024,209,5461,29.84,125.22,479,255,2009,2024,16
